Name,Amount,Unit
eggs,2,units
greek yogurt,0.5,cups
bananas,2,units
maple syrup,6,tbsp
vanilla,1,tsp
oats,0.75,cups
baking soda,1,tsp
cinnamon,0.5,tsp
ap flour,1.25,cups
