Name,Amount,Unit
onion,0.5,units
garlic,3,cloves
brussel sprouts,2,pounds
greek yogurt,1,cups
mayonnaise,0.5,cups
eggs,2,units
lemons,0.5,units
fontina cheese,0.5,cups
parmesan cheese,0.5,cups
parsley,2,tbsp
