Name,Amount,Unit
eggs,3,units
panko,2,cups
grated parmesan cheese,0.5,cups
eggplants,2,units
basil,0.5,cups
garlic,2,cloves
ricotta cheese,16,ounces
marinara sauce,24,fluid_oz
mozarella cheese,8,ounces
fontina cheese,3,ounces
