Name,Amount,Unit
greek yogurt,1,cups
ginger,3,tbsp
onion,1,units
serrano chile,1,units
tomato paste,1,tbsp
garlic,2,cloves
crushed tomatoes,28,fluid_oz
heavy cream,0.66,cups
cilantro,0.25,cups
