Name,Amount,Unit
panko,0.25,cups
dill,2,tbsp
lemon zest,1,tsp
linguine,12,ounces
anchovies,1,units
garlic,1,cloves
parsley,1,units
basil,0.5,cups
green olives,1,cups
capers,3,tbsp
parmesan cheese,0.5,ounces
lemon juice,2,tbsp
