Name,Amount,Unit
unsalted butter,2,tbsp
onion,1,units
anchovies,8,fillets
capers,3,tbsp
pitted kalamata olives,0.5,cups
whole tomatoes,28,fl oz
tuna,6,fl oz
spaghetti noodles,1,pounds
parsley,2,tbsp
