Name,Amount,Unit
onion,1,units
garlic,4,cloves
celery,2,stalks
carrot,1,units
green beans,0.3,pounds
diced tomatoes,28,fl oz
crushed tomatoes,14,fl oz
low-sodium chicken broth,6,cups
low-sodium kidney beans,15,fl oz
elbow pasta,1,cups
parmesan cheese,0.3,cups
basil,2,tbsp
