Name,Amount,Unit
linguine,0.75,pounds
unsalted butter,4,tbsp
shallots,2,units
garlic,2,cloves
shrimp,0.75,pounds
dry white wine,0.5,cups
lemon,1,units
parsley,0.25,cups
