Name,Amount,Unit
penne,8,ounces
broccoli,2,cups
fire-roasted tomatoes,1,cup
garlic,1,cloves
pesto,0.25,cups
feta cheese,0.25,cups
lemon,0.5,units
basil,0.5,cups
