Name,Unit,tsp,tbsp,fluid_oz,cups,pints,quarts,gallons
ap flour,pounds,0.005533854,0.016601563,0.033203125,0.265625,0.53125,1.0625,4.25
greek yogurt,ounces,0.208333333,0.625,1.25,10,20,40,160
unsalted butter,sticks,0.010416667,0.03125,0.0625,0.5,1,2,8
