Name,Amount,Unit
garlic,2,cloves
onion,1,units
bell pepper,1,units
vegetable broth,1.5,cups
elbow macaroni,8,ounces
salsa,12,ounces
frozen corn,1.5,cups
black beans,15,ounces
taco seasoning,3,tbsp
