ToUnits,tsp,tbsp,fluid_oz,cups,pints,quarts,gallons
tsp,1,3,6,48,96,192,768
tbsp,0.333333333,1,2,16,32,64,256
fluid_oz,0.166666667,0.5,1,8,16,32,128
cups,0.020833333,0.0625,0.125,1,2,4,16
pints,0.010416667,0.03125,0.0625,0.5,1,2,8
quarts,0.005208333,0.015625,0.03125,0.25,0.5,1,4
gallons,0.001302083,0.00390625,0.0078125,0.0625,0.125,0.25,1
