RowUnits,tsp,tbsp,fluid_oz,cups,pints,quarts,gallons
tsp,1,0.333333333,0.166666667,0.020833333,0.010416667,0.005208333,0.001302083
tbsp,3,1,0.5,0.0625,0.03125,0.015625,0.00390625
fluid_oz,6,2,1,0.125,0.0625,0.03125,0.0078125
cups,48,16,8,1,0.5,0.25,0.0625
pints,96,32,16,2,1,0.5,0.125
quarts,192,64,32,4,2,1,0.25
gallons,768,256,128,16,8,4,1
