Name,Unit
ap flour,pounds
unsalted butter,sticks
lemon juice,fluid_oz
2% milk,gallons
greek yogurt,ounces
maple syrup,fluid_oz
bread flour,pounds
vanilla,fluid_oz
whole milk,gallons
