Name,Amount,Unit
diced tomatoes,14,ounces
garlic,6,cloves
ginger,1,units
boneless chicken thighs,1,pound
butter,1,stick
heavy cream,4,fluid_oz
cilantro,0.5,cups
rice,2,cups
