Name,Amount,Unit
andouille sausage,12.8,ounces
bell pepper,1,units
onion,1,units
okra,1,units
tomato paste,2,tbsp
red beans,45,fl oz
chicken stock,3,cups
parsley,2,tbsp
garlic,3,cloves
basmati rice,1,cups
