Name,Amount,Unit
bell peppers,4,units
jalapeno,1,units
red onion,0.5,units
frozen corn,2,cups
mexican cheese,2,cups
flour tortillas,18,units
refried beans,1,cans
red enchilada sauce,2,cups
cilantro,1,ounces
