Name,Amount,Unit
rigatoni,1,pounds
heirloom tomatoes,3,cups
asiago cheese,0.5,cups
spinach,2,cups
kale,1,cups
basil,1,cups
pine nuts,0.75,cups
garlic,3,cloves
parmesan cheese,0.25,cups
lemon,1,units
