Name,Amount,Unit
onion,1,units
ground beef,0.75,pounds
milk,2.5,cups
reduced-sodium chicken broth,14.5,fl oz
condensed cheddar cheese soup,10.75,fl oz
elbow pasta,1.5,cups
sharp cheddar cheese,1.5,cups
tomato,1,units
