Name,Generic
cup,cups
cups,cups
ounce,ounces
ounces,ounces
lb,pounds
lbs,pounds
pound,pounds
pounds,pounds
tsp,teaspoons
tbsp,teaspoons
tablespoon,tablespoons
tablespoons,tablespoons
teaspoon,teaspoons
teaspoons,teaspoons
fluid oz,fluid_oz
fluid_oz,fluid_oz
fl oz,fluid_oz
oz,ounces
grams,grams
sticks,sticks
unit,units
units,units
pint,pints
pints,pints
gallon,gallons
gallons,gallons
quart,quarts
quarts,quarts
