Name,ToUnit,tsp,tbsp,fluid_oz,cups,pints,quarts,gallons
ap flour,pounds,0.005533854,0.016601563,0.033203125,0.265625,0.53125,1.0625,4.25
greek yogurt,ounces,0.208333333,0.625,1.25,10,20,40,160
unsalted butter,sticks,0.0417,0.125,0.25,2,4,8,16
